gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YDR078C,136.7055,-1.063611,0.21864937,7.074012e-7,3.438349e-6
YDR089W,127.5947,-1.031743,0.20192052,2.050889e-7,1.090426e-6
YDR096W,175.9385,-1.131047,0.25335908,4.620615e-6,1.909353e-5
YDR100W,85.18993,-3.167842,0.3889834,7.310095999999999e-19,2.8273130000000005e-17
YDR105C,157.177,-2.447431,0.23450709,7.500928e-27,9.329095e-25
YDR106W,65.954,-2.104691,0.27046678,8.889882e-16,2.043062e-14
YDR107C,73.56382,-1.991339,0.20587364,6.734631e-23,5.085448e-21
YDR119W-A,253.1021,-5.526871,0.38397084,5.161887e-49,8.185462e-46
YDR131C,27.39088,-1.543556,0.31548042,3.475235e-7,1.776262e-6
YDR134C,185.1852,-1.277393,0.3387326,7.766377e-5,2.556661e-4
YDR142C,32.84013,-1.239803,0.32206348,5.93933e-5,1.997517e-4
YDR148C,107.5871,-2.537028,0.27197181,3.2823290000000003e-22,2.214874e-20
YDR160W,103.2722,-1.53983,0.23954453,4.758149e-11,4.790626e-10
YDR173C,136.082,-1.389723,0.18984425,1.123555e-13,1.818038e-12
YDR177W,280.2614,-1.396785,0.17682997,1.272643e-15,2.88299e-14
YDR178W,70.4583,-4.311948,0.4869657,1.058001e-21,6.918452e-20
YDR185C,39.43369,-1.204413,0.30579784,4.299619e-5,1.48543e-4
YDR189W,35.40825,-1.171112,0.25743999,2.981928e-6,1.272838e-5
YDR196C,59.00513,-1.233658,0.29420001,1.408768e-5,5.328451e-5
YDR204W,77.4866,-1.594421,0.33851698,7.902677e-7,3.809018e-6
YDR205W,104.3376,-1.014043,0.2117092,1.072926e-6,5.029984e-6
YDR216W,228.6088,-2.07257,0.39011089,1.281028e-8,8.499539e-8
YDR223W,138.3481,-1.313335,0.28751606,2.329496e-6,1.016231e-5
YDR224C,84.17573,-2.114875,0.51931292,4.136103e-6,1.722607e-5
YDR225W,393.7805,-3.969373,0.44495493,2.995896e-22,2.088239e-20
YDR233C,595.6048,-3.681243,0.25504095,1.311173e-50,2.772256e-47
YDR236C,29.17247,-1.648535,0.39111244,6.994153e-6,2.816757e-5
YDR246W-A,7.554019,-1.73747,0.66677542,0.001508635,0.003841538
YDR247W,51.97164,-2.346108,0.42792368,2.156863e-9,1.636481e-8
YDR248C,24.88364,-1.846546,0.49132115,2.964061e-5,1.054461e-4
YDR249C,60.99597,-1.804113,0.27954656,2.580677e-11,2.741915e-10
YDR254W,81.09557,-1.611131,0.26871169,6.629635e-10,5.461269e-9
YDR256C,14.03346,-1.467895,0.45212654,4.043283e-4,0.001168408
YDR262W,93.00146,-1.307273,0.38905804,3.487063e-4,0.001015539
YDR272W,208.8058,-1.544225,0.40063467,3.778266e-5,1.319799e-4
YDR273W,261.0066,-1.229621,0.22805241,3.69321e-8,2.228928e-7
YDR275W,87.41381,-2.489308,0.3486813,3.208948e-14,5.782488e-13
YDR276C,78.49847,-3.723525,0.435077,6.51722e-21,3.9370219999999997e-19
YDR288W,71.3612,-1.863825,0.37605521,1.386282e-7,7.599991e-7
YDR302W,42.50991,-2.710515,0.49361565,5.128184e-10,4.308354e-9
YDR305C,99.94177,-1.234663,0.21202836,3.0626e-9,2.264111e-8
YDR307W,59.37631,-1.078751,0.22376648,8.685925e-7,4.145585e-6
YDR319C,131.2532,-1.702348,0.28021446,3.490776e-10,3.024862e-9
YDR320C-A,306.7661,-1.974216,0.56610858,5.710444e-5,1.92462e-4
YDR322C-A,76.47109,-2.486748,0.39579413,1.091498e-11,1.254234e-10
YDR328C,57.69814,-1.839842,0.32010293,1.934302e-9,1.478226e-8
YDR330W,33.37784,-1.352356,0.34203253,3.369711e-5,1.184159e-4
